district,year,total_land_disputes,boundary_disputes,inheritance_disputes,tenancy_disputes,encroachment_disputes,title_disputes,other_disputes,resolved_cases,pending_cases,avg_resolution_months,data_source,notes
Tenkasi,2022,337,101,56,52,35,35,58,135,202,21.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tenkasi, 2022. Replace with real NJDG + State Revenue Dept integration."
Tenkasi,2023,333,110,60,35,42,23,63,156,177,35.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tenkasi, 2023. Replace with real NJDG + State Revenue Dept integration."
Tenkasi,2024,395,141,95,58,43,37,21,200,195,20.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tenkasi, 2024. Replace with real NJDG + State Revenue Dept integration."
Thanjavur,2019,694,256,151,122,62,64,39,351,343,19.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Thanjavur, 2019. Replace with real NJDG + State Revenue Dept integration."
Thanjavur,2020,405,123,99,41,36,33,73,171,234,36.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Thanjavur, 2020. Replace with real NJDG + State Revenue Dept integration."
Thanjavur,2021,394,122,84,47,34,39,68,177,217,34.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Thanjavur, 2021. Replace with real NJDG + State Revenue Dept integration."
Thanjavur,2022,625,222,107,93,80,74,49,243,382,23.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Thanjavur, 2022. Replace with real NJDG + State Revenue Dept integration."
Thanjavur,2023,396,158,91,70,59,38,0,194,202,41.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Thanjavur, 2023. Replace with real NJDG + State Revenue Dept integration."
Thanjavur,2024,493,175,119,74,66,42,17,184,309,26.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Thanjavur, 2024. Replace with real NJDG + State Revenue Dept integration."
Theni,2019,194,59,40,26,28,11,30,102,92,20.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Theni, 2019. Replace with real NJDG + State Revenue Dept integration."
Theni,2020,294,96,66,48,25,34,25,140,154,36.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Theni, 2020. Replace with real NJDG + State Revenue Dept integration."
Theni,2021,361,124,60,64,39,41,33,130,231,23.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Theni, 2021. Replace with real NJDG + State Revenue Dept integration."
Theni,2022,210,81,36,36,24,14,19,76,134,26.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Theni, 2022. Replace with real NJDG + State Revenue Dept integration."
Theni,2023,430,127,87,60,39,49,68,163,267,45.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Theni, 2023. Replace with real NJDG + State Revenue Dept integration."
Theni,2024,403,103,95,42,58,41,64,162,241,26.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Theni, 2024. Replace with real NJDG + State Revenue Dept integration."
Thoothukudi,2019,430,139,91,52,63,36,49,219,211,46.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Thoothukudi, 2019. Replace with real NJDG + State Revenue Dept integration."
Thoothukudi,2020,335,91,64,45,34,20,81,174,161,31.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Thoothukudi, 2020. Replace with real NJDG + State Revenue Dept integration."
Thoothukudi,2021,598,161,111,86,61,49,130,241,357,28.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Thoothukudi, 2021. Replace with real NJDG + State Revenue Dept integration."
Thoothukudi,2022,293,111,56,51,41,31,3,157,136,48.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Thoothukudi, 2022. Replace with real NJDG + State Revenue Dept integration."
Thoothukudi,2023,323,103,76,45,27,25,47,142,181,28.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Thoothukudi, 2023. Replace with real NJDG + State Revenue Dept integration."
Thoothukudi,2024,430,139,102,65,48,37,39,223,207,36.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Thoothukudi, 2024. Replace with real NJDG + State Revenue Dept integration."
Tiruchirappalli,2019,1468,376,227,212,154,103,396,627,841,36.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruchirappalli, 2019. Replace with real NJDG + State Revenue Dept integration."
Tiruchirappalli,2020,1226,328,303,161,166,90,178,659,567,49.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruchirappalli, 2020. Replace with real NJDG + State Revenue Dept integration."
Tiruchirappalli,2021,787,201,174,129,91,47,145,416,371,23.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruchirappalli, 2021. Replace with real NJDG + State Revenue Dept integration."
Tiruchirappalli,2022,1350,487,242,171,186,117,147,663,687,30.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruchirappalli, 2022. Replace with real NJDG + State Revenue Dept integration."
Tiruchirappalli,2023,1293,436,296,204,165,67,125,575,718,58.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruchirappalli, 2023. Replace with real NJDG + State Revenue Dept integration."
Tiruchirappalli,2024,1411,476,235,212,174,153,161,535,876,46.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruchirappalli, 2024. Replace with real NJDG + State Revenue Dept integration."
Tirunelveli,2019,237,66,46,31,25,15,54,106,131,43.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tirunelveli, 2019. Replace with real NJDG + State Revenue Dept integration."
Tirunelveli,2020,384,136,77,55,57,32,27,163,221,58.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tirunelveli, 2020. Replace with real NJDG + State Revenue Dept integration."
Tirunelveli,2021,412,124,93,64,51,40,40,194,218,26.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tirunelveli, 2021. Replace with real NJDG + State Revenue Dept integration."
Tirunelveli,2022,330,129,81,53,42,32,0,147,183,38.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tirunelveli, 2022. Replace with real NJDG + State Revenue Dept integration."
Tirunelveli,2023,470,137,97,67,67,36,66,196,274,50.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tirunelveli, 2023. Replace with real NJDG + State Revenue Dept integration."
Tirunelveli,2024,250,75,48,30,28,16,53,114,136,57.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tirunelveli, 2024. Replace with real NJDG + State Revenue Dept integration."
Tirupathur,2019,337,121,58,35,48,22,53,133,204,22.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tirupathur, 2019. Replace with real NJDG + State Revenue Dept integration."
Tirupathur,2020,229,57,46,39,24,26,37,120,109,38.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tirupathur, 2020. Replace with real NJDG + State Revenue Dept integration."
Tirupathur,2021,236,69,36,38,29,15,49,117,119,53.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tirupathur, 2021. Replace with real NJDG + State Revenue Dept integration."
Tirupathur,2022,219,83,36,38,32,17,13,98,121,57.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tirupathur, 2022. Replace with real NJDG + State Revenue Dept integration."
Tirupathur,2023,412,103,85,44,61,28,91,225,187,40.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tirupathur, 2023. Replace with real NJDG + State Revenue Dept integration."
Tirupathur,2024,353,113,59,38,32,28,83,141,212,25.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tirupathur, 2024. Replace with real NJDG + State Revenue Dept integration."
Tiruppur,2019,1251,345,294,214,172,107,119,459,792,46.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruppur, 2019. Replace with real NJDG + State Revenue Dept integration."
Tiruppur,2020,635,159,119,86,62,46,163,296,339,42.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruppur, 2020. Replace with real NJDG + State Revenue Dept integration."
Tiruppur,2021,733,234,121,113,106,82,77,369,364,47.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruppur, 2021. Replace with real NJDG + State Revenue Dept integration."
Tiruppur,2022,1229,347,200,137,162,113,270,532,697,41.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruppur, 2022. Replace with real NJDG + State Revenue Dept integration."
Tiruppur,2023,982,357,214,145,132,85,49,447,535,33.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruppur, 2023. Replace with real NJDG + State Revenue Dept integration."
Tiruppur,2024,1198,335,243,135,167,96,222,582,616,48.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruppur, 2024. Replace with real NJDG + State Revenue Dept integration."
Tiruvallur,2019,1585,504,319,216,133,130,283,810,775,48.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvallur, 2019. Replace with real NJDG + State Revenue Dept integration."
Tiruvallur,2020,1474,384,283,229,173,79,326,779,695,59.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvallur, 2020. Replace with real NJDG + State Revenue Dept integration."
Tiruvallur,2021,1289,470,319,195,141,154,10,549,740,54.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvallur, 2021. Replace with real NJDG + State Revenue Dept integration."
Tiruvallur,2022,1863,502,439,203,278,144,297,699,1164,59.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvallur, 2022. Replace with real NJDG + State Revenue Dept integration."
Tiruvallur,2023,2033,713,415,289,279,136,201,852,1181,29.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvallur, 2023. Replace with real NJDG + State Revenue Dept integration."
Tiruvallur,2024,2066,707,503,353,200,113,190,968,1098,36.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvallur, 2024. Replace with real NJDG + State Revenue Dept integration."
Tiruvannamalai,2019,706,254,134,83,67,77,91,255,451,39.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvannamalai, 2019. Replace with real NJDG + State Revenue Dept integration."
Tiruvannamalai,2020,546,162,114,83,55,38,94,206,340,45.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvannamalai, 2020. Replace with real NJDG + State Revenue Dept integration."
Tiruvannamalai,2021,470,156,98,74,43,45,54,216,254,20.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvannamalai, 2021. Replace with real NJDG + State Revenue Dept integration."
Tiruvannamalai,2022,574,211,104,76,51,43,89,287,287,37.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvannamalai, 2022. Replace with real NJDG + State Revenue Dept integration."
Tiruvannamalai,2023,792,293,191,114,117,70,7,298,494,28.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvannamalai, 2023. Replace with real NJDG + State Revenue Dept integration."
Tiruvannamalai,2024,523,197,83,82,48,35,78,253,270,43.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvannamalai, 2024. Replace with real NJDG + State Revenue Dept integration."
Tiruvarur,2019,601,215,123,83,84,44,52,325,276,18.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvarur, 2019. Replace with real NJDG + State Revenue Dept integration."
Tiruvarur,2020,608,220,137,105,78,60,8,261,347,28.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvarur, 2020. Replace with real NJDG + State Revenue Dept integration."
Tiruvarur,2021,395,130,73,47,45,33,67,146,249,59.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvarur, 2021. Replace with real NJDG + State Revenue Dept integration."
Tiruvarur,2022,467,142,89,67,44,28,97,187,280,57.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvarur, 2022. Replace with real NJDG + State Revenue Dept integration."
Tiruvarur,2023,480,134,83,69,46,42,106,258,222,32.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvarur, 2023. Replace with real NJDG + State Revenue Dept integration."
Tiruvarur,2024,578,184,129,74,51,51,89,223,355,55.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Tiruvarur, 2024. Replace with real NJDG + State Revenue Dept integration."
Vellore,2019,778,198,182,136,98,80,84,336,442,53.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Vellore, 2019. Replace with real NJDG + State Revenue Dept integration."
Vellore,2020,420,118,82,44,52,48,76,223,197,45.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Vellore, 2020. Replace with real NJDG + State Revenue Dept integration."
Vellore,2021,353,88,71,43,52,18,81,180,173,46.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Vellore, 2021. Replace with real NJDG + State Revenue Dept integration."
Vellore,2022,709,274,143,84,87,47,74,298,411,51.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Vellore, 2022. Replace with real NJDG + State Revenue Dept integration."
Vellore,2023,429,143,106,50,54,46,30,206,223,54.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Vellore, 2023. Replace with real NJDG + State Revenue Dept integration."
Vellore,2024,652,199,128,98,84,36,107,338,314,45.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Vellore, 2024. Replace with real NJDG + State Revenue Dept integration."
Viluppuram,2019,721,277,174,85,103,70,12,334,387,29.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Viluppuram, 2019. Replace with real NJDG + State Revenue Dept integration."
Viluppuram,2020,1143,439,235,117,165,82,105,619,524,42.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Viluppuram, 2020. Replace with real NJDG + State Revenue Dept integration."
Viluppuram,2021,1044,406,187,151,124,114,62,506,538,40.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Viluppuram, 2021. Replace with real NJDG + State Revenue Dept integration."
Viluppuram,2022,785,255,194,81,86,85,84,328,457,50.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Viluppuram, 2022. Replace with real NJDG + State Revenue Dept integration."
Viluppuram,2023,1170,297,207,209,133,87,237,629,541,36.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Viluppuram, 2023. Replace with real NJDG + State Revenue Dept integration."
Viluppuram,2024,998,365,179,119,84,68,183,425,573,50.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Viluppuram, 2024. Replace with real NJDG + State Revenue Dept integration."
Virudhunagar,2019,346,92,52,43,36,23,100,130,216,25.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Virudhunagar, 2019. Replace with real NJDG + State Revenue Dept integration."
Virudhunagar,2020,467,123,74,67,56,48,99,244,223,18.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Virudhunagar, 2020. Replace with real NJDG + State Revenue Dept integration."
Virudhunagar,2021,478,184,118,69,43,36,28,180,298,30.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Virudhunagar, 2021. Replace with real NJDG + State Revenue Dept integration."
Virudhunagar,2022,467,136,84,75,49,54,69,230,237,38.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Virudhunagar, 2022. Replace with real NJDG + State Revenue Dept integration."
Virudhunagar,2023,523,154,128,66,64,55,56,217,306,32.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Virudhunagar, 2023. Replace with real NJDG + State Revenue Dept integration."
Virudhunagar,2024,672,181,122,118,63,48,140,364,308,58.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Virudhunagar, 2024. Replace with real NJDG + State Revenue Dept integration."
